agent,map,kda,kill,death,assistant,winrate,defenderwinrate,attackwinrate,pickrate,totalgame
raze,all,1.000,11.0 , 11.0 , 3.5,0.5,0.5,0.5,0.1,1047336
killjoy,all,0.960,11.0 , 11.4 , 3.4,0.52,0.51,0.5,0.06,626892
sage,all,0.900,10.8 , 12.0 , 3.7,0.51,0.5,0.5,0.14,1414077
brimstone,all,0.910,11.2 , 12.3 , 4.9,0.49,0.5,0.5,0.03,357714
reyna,all,1.150,13.5 , 11.8 , 3.3,0.51,0.5,0.51,0.13,1400664
viper,all,0.940,10.9 , 11.6 , 3.9,0.49,0.5,0.5,0.05,499902
sova,all,0.940,10.9 , 11.6 , 4.4,0.49,0.5,0.5,0.08,786216
breach,all,0.930,10.2 , 11.0 , 3.7,0.49,0.49,0.5,0.02,252195
jett,all,1.110,12.6 , 11.4 , 3.0,0.5,0.5,0.5,0.14,1421013
omen,all,0.960,12.1 , 12.6 , 4.0,0.49,0.5,0.5,0.07,698343
skye,all,0.930,10.4 , 11.2 , 3.1,0.49,0.5,0.5,0.04,382806
phoenix,all,0.990,10.9 , 11.0 , 2.9,0.5,0.49,0.5,0.06,648975
astra,all,0.990,11.7 , 11.8 , 3.7,0.48,0.5,0.49,0.01,112251
cypher,all,0.960,11.2 , 11.7 , 3.5,0.5,0.5,0.5,0.04,399942
yoru,all,0.930,9.6 , 10.3 , 2.4,0.47,0.48,0.49,0.04,448698
raze,split,1.030,11.9 , 11.6 , 3.9,0.5,0.52,0.49,0.11,91851
killjoy,split,0.980,11.6 , 11.8 , 3.6,0.52,0.53,0.49,0.07,54621
sage,split,0.920,11.1 , 12.2 , 3.9,0.5,0.52,0.49,0.14,118779
brimstone,split,0.930,11.3 , 12.1 , 5.4,0.5,0.51,0.49,0.04,29274
reyna,split,1.130,13.5 , 12.0 , 3.4,0.51,0.52,0.49,0.13,109497
viper,split,0.900,10.6 , 11.8 , 4.2,0.47,0.51,0.49,0.04,36567
sova,split,0.960,11.2 , 11.7 , 4.6,0.49,0.51,0.49,0.05,45951
breach,split,0.950,10.6 , 11.2 , 3.7,0.49,0.5,0.49,0.03,23307
jett,split,1.080,12.7 , 11.7 , 3.2,0.51,0.51,0.49,0.13,109038
omen,split,0.970,12.5 , 12.8 , 4.3,0.51,0.51,0.49,0.07,62322
skye,split,0.900,10.6 , 11.7 , 3.3,0.5,0.5,0.5,0.04,29580
phoenix,split,1.010,11.1 , 11.1 , 3.1,0.5,0.5,0.49,0.06,49572
